run	shape	cats	size	cx	pitch_calib	text	advance	label_adv	lang	arrangement	lines	pitch_drawn
w7	one	5	11	4042500	61.114	nnnnnnnnnn	59.106	59.106	de-DE	turned	0	57.538
w7	one	5	11	4065000	61.454	nnnnnnnnnn	59.106	59.106	de-DE	turned	0	57.935
w7	one	5	11	4087500	61.794	nnnnnnnnnn	59.106	59.106	de-DE	turned	0	58.297
w7	one	5	11	4110000	62.134	nnnnnnnnnn	59.106	59.106	de-DE	turned	0	58.672
w7	one	5	11	4132500	62.474	nnnnnnnnnn	59.106	59.106	de-DE	upright	1	62.470
w7	one	5	11	4155000	62.814	nnnnnnnnnn	59.106	59.106	de-DE	upright	1	62.817
w7	one	5	11	4177500	63.155	nnnnnnnnnn	59.106	59.106	de-DE	upright	1	63.151
w7	one	5	11	4200000	63.495	nnnnnnnnnn	59.106	59.106	de-DE	upright	1	63.491
w7	one	5	11	4800000	72.565	nnnnnnnnnnnn	70.928	70.928	de-DE	turned	0	68.423
w7	one	5	11	4828750	73.000	nnnnnnnnnnnn	70.928	70.928	de-DE	turned	0	68.891
w7	one	5	11	4857500	73.435	nnnnnnnnnnnn	70.928	70.928	de-DE	turned	0	69.387
w7	one	5	11	4886250	73.869	nnnnnnnnnnnn	70.928	70.928	de-DE	turned	0	69.862
w7	one	5	11	4915000	74.304	nnnnnnnnnnnn	70.928	70.928	de-DE	turned	0	70.351
w7	one	5	11	4943750	74.739	nnnnnnnnnnnn	70.928	70.928	de-DE	upright	1	74.744
w7	one	5	11	4972500	75.173	nnnnnnnnnnnn	70.928	70.928	de-DE	upright	1	75.169
w7	one	5	11	5001250	75.608	nnnnnnnnnnnn	70.928	70.928	de-DE	upright	1	75.616
w7	one	5	11	5030000	76.043	nnnnnnnnnnnn	70.928	70.928	de-DE	upright	1	76.041
w7	one	5	11	5580000	84.357	nnnnnnnnnnnnnn	82.749	82.749	de-DE	turned	0	nan
w7	one	5	11	5613750	84.868	nnnnnnnnnnnnnn	82.749	82.749	de-DE	turned	0	nan
w7	one	5	11	5647500	85.378	nnnnnnnnnnnnnn	82.749	82.749	de-DE	turned	0	nan
w7	one	5	11	5681250	85.888	nnnnnnnnnnnnnn	82.749	82.749	de-DE	turned	0	nan
