stem	pagesB	pagesA	pagesR	wordsB	wordsA	wordsR	hashB	hashA	hashR	verdictB	verdictA	bytesChanged
links-2026	45	45	45	2829	2829	2829	-	-	-	unembedded	unembedded	0
npias_2009_appA	73	73	73	49748	49748	49748	-	-	-	unembedded	unembedded	0
oltl-bulletin-59-26-03-ptr-sc-registration-form-for-oltl-approved-software	2	2	2	84	84	84	-	-	-	unembedded	unembedded	0
orbus_togaf_tool_csq	33	33	75	32193	32193	46970	-	-	-	pages,words,unembedded	pages,words,unembedded	0
permit-applications-determined-july-2015	1	1	1	1312	1312	1312	-	-	-	unembedded	unembedded	0
programs contact list as of 07-01-10	3	3	3	946	946	943	-	-	-	unembedded	unembedded	0
redac-sas-201503-fy17-research-portfolio	2	2	2	731	731	735	-	-	-	unembedded	unembedded	0
register-changes-in-may-2024---adujsted	10	10	10	787	787	787	-	-	-	unembedded	unembedded	0
sectors-defense-and-aerospace	227	227	449	23183	23183	23180	-	-	-	pages,unembedded	pages,unembedded	0
seihon_zassi_kikou_20221215	84	84	84	48390	48390	48329	-	-	-	unembedded	unembedded	0
sistem-rekod-markah-srm-_-rekod-master	31	31	31	5862	5862	5837	-	-	-	unembedded	unembedded	0
template-ECSPR-notifications	26	26	26	288	288	288	-	-	-	unembedded	unembedded	0
tk-syllabus-comparison-document-v5	855	855	855	235134	235134	235063	-	-	-	unembedded	unembedded	0
underlying-holdings-emea-en_gb-monthly-holdings-state-street-emu-esg-screened-index-equity-fund	15	15	15	4977	4977	4982	-	-	-	unembedded	unembedded	0
wiley-cancelled-title-list	60	60	60	7582	7582	7582	-	-	-	unembedded	unembedded	0
