document	charts	moved	base_ink	head_ink
007_advanced_powerpoint_scatter.pptx	0	same		
014_advanced_powerpoint_area.pptx	1	same		
017_advanced_powerpoint_bar.pptx	1	same		
023_advanced_powerpoint_scatter.pptx	0	same		
024_advanced_powerpoint_bubble.pptx	0	same		
030_advanced_powerpoint_area.pptx	1	same		
032_advanced_powerpoint_bubble.pptx	0	same		
033_advanced_powerpoint_bar.pptx	1	same		
002_advanced_powerpoint_column.pptx	1	same		
003_advanced_powerpoint_line.pptx	1	same		
005_advanced_powerpoint_doughnut.pptx	1	same		
009_advanced_powerpoint_bar.pptx	1	same		
010_advanced_powerpoint_column.pptx	1	same		
011_advanced_powerpoint_line.pptx	1	same		
012_advanced_powerpoint_pie.pptx	1	same		
019_advanced_powerpoint_line.pptx	1	same		
027_advanced_powerpoint_line.pptx	1	same		
028_advanced_powerpoint_pie.pptx	1	same		
004_advanced_powerpoint_pie.pptx	1	same		
013_advanced_powerpoint_doughnut.pptx	1	same		
018_advanced_powerpoint_column.pptx	1	same		
020_advanced_powerpoint_pie.pptx	1	same		
021_advanced_powerpoint_doughnut.pptx	1	same		
022_advanced_powerpoint_area.pptx	1	same		
025_advanced_powerpoint_bar.pptx	1	same		
026_advanced_powerpoint_column.pptx	1	same		
029_advanced_powerpoint_doughnut.pptx	1	same		
004_2-Stage_Vertical_Funnel_Diagram_for_PowerPoint_593f4c80.pptx	0	same		
005_2-Step_Funnel_On_left_With_Text_767f0490.pptx	0	same		
006_2-Way_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_7c1e5084.pptx	0	same		
011_3-Stage_Vertical_Funnel_Diagram_for_PowerPoint_10ce23dd.pptx	0	same		
068_Funnel_Diagram_for_PowerPoint_with_2_Steps_437e4ba7.pptx	0	same		
069_Funnel_Diagram_for_PowerPoint_with_3_Steps_f96396fc.pptx	0	same		
070_Funnel_Diagram_for_PowerPoint_with_4_Steps_975f1642.pptx	0	same		
071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec.pptx	0	same		
076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835.pptx	6	same		
084_Infographic_Hierarchy_Tree_for_PowerPoint_fda8141c.pptx	0	same		
001_1-2-3_Horizontal_Hierarchy_39795b4d.pptx	0	same		
007_3_Circles_Diagram_for_PowerPoint_dac9f170.pptx	0	same		
017_4-Stage_Vertical_Funnel_Diagram_for_PowerPoint_61e7bde5.pptx	0	same		
031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx	2	same		
043_Dual_Horizontal_Hierarchy_for_PowerPoint_and_Google_Slides_5074b09e.pptx	0	same		
044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx	3	same		
055_Four_Pillar_Hierarchy_for_PowerPoint_and_Google_Slides_6b42ed18.pptx	0	same		
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020.pptx	0	same		
094_Intersecting_Teardrops_for_PowerPoint_and_Google_Slides_ff43aedb.pptx	0	same		
099_Light_Bulb_SWOT_for_PowerPoint_and_Google_Slides_554a1e33.pptx	0	same		
035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx	2	same		
039_Consumer_Decision_Journey_for_PowerPoint_319207e1.pptx	0	same		
047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx	2	same		
054_Flowchart_Board_Game_for_PowerPoint_and_Google_Slides_1b047962.pptx	0	same		
057_Four-Branch_Diagram_for_PowerPoint_and_Google_Slides_ddf5d27c.pptx	0	same		
