path	ext	family	batch	kind	part	feature
slides/chartset-001/pptx/scatter_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	@scatterStyle_line
slides/chartset-001/pptx/stacked_area_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:areaChart
slides/chartset-001/pptx/stacked_area_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	@grouping_stacked
slides/chartset-001/pptx/stacked_bar_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:barChart
slides/chartset-001/pptx/stacked_bar_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	@grouping_stacked
slides/chartset-001/pptx/bar_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:barChart
slides/chartset-001/pptx/combo_bar_line_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:barChart
slides/chartset-001/pptx/combo_bar_line_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:lineChart
slides/chartset-001/pptx/line_chart.pptx	pptx	slides	chartset-001		ppt/charts/chart1.xml	c:lineChart
slides/chartset-001/pptx/008_advanced_powerpoint_bubble.pptx	pptx	slides	chartset-001		ppt/charts/chart8.xml	c:bubbleChart
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-001		ppt/charts/chart15.xml	c:scatterChart
slides/chartset-001/pptx/015_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-001		ppt/charts/chart15.xml	@scatterStyle_line
slides/chartset-001/pptx/016_advanced_powerpoint_bubble.pptx	pptx	slides	chartset-001		ppt/charts/chart16.xml	c:bubbleChart
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-001		ppt/charts/chart31.xml	c:scatterChart
slides/chartset-001/pptx/031_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-001		ppt/charts/chart31.xml	@scatterStyle_line
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-002		ppt/charts/chart7.xml	c:scatterChart
slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-002		ppt/charts/chart7.xml	@scatterStyle_line
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-002		ppt/charts/chart23.xml	c:scatterChart
slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx	pptx	slides	chartset-002		ppt/charts/chart23.xml	@scatterStyle_line
slides/chartset-002/pptx/032_advanced_powerpoint_bubble.pptx	pptx	slides	chartset-002		ppt/charts/chart32.xml	c:bubbleChart
slides/chartset-002/pptx/024_advanced_powerpoint_bubble.pptx	pptx	slides	chartset-002		ppt/charts/chart24.xml	c:bubbleChart
slides/chartset-002/pptx/006_advanced_powerpoint_area.pptx	pptx	slides	chartset-002		ppt/charts/chart6.xml	c:areaChart
slides/chartset-002/pptx/014_advanced_powerpoint_area.pptx	pptx	slides	chartset-002		ppt/charts/chart14.xml	c:areaChart
slides/chartset-002/pptx/030_advanced_powerpoint_area.pptx	pptx	slides	chartset-002		ppt/charts/chart30.xml	c:areaChart
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart1.xml	c:barChart
slides/chartset-002/pptx/001_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart1.xml	@barDir_bar
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart17.xml	c:barChart
slides/chartset-002/pptx/017_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart17.xml	@barDir_bar
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart33.xml	c:barChart
slides/chartset-002/pptx/033_advanced_powerpoint_bar.pptx	pptx	slides	chartset-002		ppt/charts/chart33.xml	@barDir_bar
slides/chartset-003/pptx/019_advanced_powerpoint_line.pptx	pptx	slides	chartset-003		ppt/charts/chart19.xml	c:lineChart
slides/chartset-003/pptx/003_advanced_powerpoint_line.pptx	pptx	slides	chartset-003		ppt/charts/chart3.xml	c:lineChart
slides/chartset-003/pptx/002_advanced_powerpoint_column.pptx	pptx	slides	chartset-003		ppt/charts/chart2.xml	c:barChart
slides/chartset-003/pptx/010_advanced_powerpoint_column.pptx	pptx	slides	chartset-003		ppt/charts/chart10.xml	c:barChart
slides/chartset-003/pptx/011_advanced_powerpoint_line.pptx	pptx	slides	chartset-003		ppt/charts/chart11.xml	c:lineChart
slides/chartset-003/pptx/027_advanced_powerpoint_line.pptx	pptx	slides	chartset-003		ppt/charts/chart27.xml	c:lineChart
slides/chartset-003/pptx/012_advanced_powerpoint_pie.pptx	pptx	slides	chartset-003		ppt/charts/chart12.xml	c:pieChart
slides/chartset-003/pptx/028_advanced_powerpoint_pie.pptx	pptx	slides	chartset-003		ppt/charts/chart28.xml	c:pieChart
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	pptx	slides	chartset-003		ppt/charts/chart5.xml	c:doughnutChart
slides/chartset-003/pptx/005_advanced_powerpoint_doughnut.pptx	pptx	slides	chartset-003		ppt/charts/chart5.xml	@holeSize
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	pptx	slides	chartset-003		ppt/charts/chart9.xml	c:barChart
slides/chartset-003/pptx/009_advanced_powerpoint_bar.pptx	pptx	slides	chartset-003		ppt/charts/chart9.xml	@barDir_bar
