part	groups	axpairs	valax	dateax	catax	plotvisonly	varycolors	dpt	cellrange	dlblrange	strlit	numlit	spacebold	axorder	gaxorder	doc
ppt/charts/chart7.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	scatterChart:2094734554,2094734552:0	slides/chartset-002/pptx/007_advanced_powerpoint_scatter.pptx
ppt/charts/chart23.xml	1	0	2	0	0	True	0	0	0	0	0	0	0	valAx:2094734554;valAx:2094734552	scatterChart:2094734554,2094734552:0	slides/chartset-002/pptx/023_advanced_powerpoint_scatter.pptx
ppt/charts/chart1.xml	1	1	0	0	0	True	1	4	0	0	0	0	0		pieChart::1	slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx
ppt/charts/chart2.xml	1	1	0	0	0	True	1	4	0	0	0	0	0		pieChart::1	slides/chartset-006/pptx/031_Alarm_Clock_Pie-Chart_for_PowerPoint_and_Google_Slides_0b185a05.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:648886687;valAx:388046303	barChart:648886687,388046303:4	slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:648886687;valAx:388046303	barChart:648886687,388046303:4	slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:648886687;valAx:388046303	barChart:648886687,388046303:4	slides/chartset-006/pptx/044_Dual_Mind_Spark_Chart_for_PowerPoint_a83f890a.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	1	catAx:182561280;valAx:46972928	barChart:182561280,46972928:2	slides/done-010/pptx/Sector_Skills_Insights_Advanced_Manufacturing_summary_slide_pack.pptx
ppt/charts/chart1.xml	2	2	4	0	0	True	0	0	0	0	0	0	0	valAx:42795008;valAx:42796928;valAx:42803200;valAx:42805120	scatterChart:42795008,42796928:6|scatterChart:42805120,42803200:1	slides/done-015/pptx/RPA P4 - Advanced Material.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:501078448;valAx:715539936	radarChart:501078448,715539936:1	slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:501078448;valAx:715539936	radarChart:501078448,715539936:1	slides/chartset-007/pptx/047_Female_Radar_Brain_for_PowerPoint_and_Google_Slides_c2a541f6.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart3.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart5.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart4.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart6.xml	1	1	1	0	1	True	0	1	0	0	0	0	0	catAx:441541400;valAx:441545712	barChart:441541400,441545712:2	slides/chartset-007/pptx/096_Lab_Flask_Charts_for_PowerPoint_and_Google_Slides_91e3cbb5.pptx
ppt/charts/chart1.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:727639344;valAx:727635424	barChart:727639344,727635424:4	slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx
ppt/charts/chart2.xml	1	1	1	0	1	True	0	0	0	0	0	0	0	catAx:727759688;valAx:727769488	barChart:727759688,727769488:4	slides/chartset-007/pptx/035_Chemistry_Column_PowerPoint_Chart_45bf8a76.pptx
