track	path	ext	rawO	rawR	alnumO	alnumR	nonO	nonR
words	words/batch-003/doc/10795.doc	doc	860	864	853	857	7	7
words	words/batch-003/doc/96-3-clement-data.doc	doc	1514	1513	1469	1469	45	44
words	words/batch-003/doc/DEP2008-1900.doc	doc	1011	1011	998	998	13	13
words	words/batch-003/doc/II.1.2_Hypoxia.doc	doc	3738	3738	3729	3729	9	9
words	words/batch-003/doc/Temp16.doc	doc	671	671	669	669	2	2
words	words/batch-003/docx/191216_Lesefassung_Nachtflugregelung.docx	docx	910	910	907	907	3	3
words	words/batch-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	docx	1704	1704	1700	1700	4	4
words	words/batch-003/docx/DRX-Ascend System Course Description.docx	docx	512	512	475	475	37	37
words	words/batch-003/docx/Technical_Issue_Report_Form.docx	docx	406	406	341	341	65	65
words	words/batch-003/docx/mde087077~283.docx	docx	997	997	987	987	10	10
words	words/batch-004/doc/07-04.doc	doc	1078	1078	1069	1069	9	9
words	words/batch-004/doc/1447.doc	doc	962	962	959	959	3	3
words	words/batch-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	doc	1051	1051	949	949	102	102
words	words/batch-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	doc	1196	1196	1194	1194	2	2
words	words/batch-004/docx/1528039320.docx	docx	292	292	289	289	3	3
words	words/batch-004/docx/461249.docx	docx	1710	1708	1671	1669	39	39
words	words/batch-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	docx	960	960	953	953	7	7
words	words/batch-004/docx/License App Instructions 2-22.docx	docx	1036	1036	1002	1002	34	34
words	words/batch-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	docx	1094	1094	1081	1081	13	13
words	words/batch-004/docx/Software Architecture Document Template.docx	docx	604	604	589	589	15	15
words	words/batch-005/doc/316r_a_e.doc	doc	4417	4418	4372	4373	45	45
words	words/batch-005/doc/316r_a_f.doc	doc	4631	4634	4581	4584	50	50
words	words/batch-005/doc/RobertQ_Service.doc	doc	587	587	547	547	40	40
words	words/batch-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	doc	265	265	262	262	3	3
words	words/batch-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	doc	3372	3372	3346	3346	26	26
words	words/batch-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	docx	672	672	668	668	4	4
words	words/batch-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	docx	310	310	294	294	16	16
words	words/batch-005/docx/Technical Report and Technical Update Guidelines.docx	docx	1251	1251	1205	1205	46	46
words	words/batch-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	docx	1711	1711	1701	1701	10	10
words	words/batch-005/docx/part-147_approval list_20230119.docx	docx	758	758	735	735	23	23
words	words/batch-006/doc/003.doc	doc	999	999	984	984	15	15
words	words/batch-006/doc/1244277 1 Comment.doc	doc	393	393	389	389	4	4
words	words/batch-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	781	779	774	774	7	5
words	words/batch-006/doc/P200904290238_0238_51880.doc	doc	312	312	308	308	4	4
words	words/batch-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	6166	6166	6133	6133	33	33
words	words/batch-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	430	430	424	424	6	6
words	words/batch-006/docx/cacs-206-1751218225.docx	docx	348	348	347	347	1	1
words	words/batch-006/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	5657	5657	5453	5453	204	204
words	words/batch-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	1980	1980	1936	1936	44	44
words	words/batch-006/docx/technical-memo-format.docx	docx	1847	1846	1813	1812	34	34
words	words/batch-007/doc/RNW167A-150428.doc	doc	1770	1770	1767	1767	3	3
words	words/batch-007/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	955	955	941	941	14	14
words	words/batch-007/doc/chapter 12.doc	doc	3683	3683	3671	3671	12	12
words	words/batch-007/doc/congregationalhistories_ky_2023.doc	doc	252	252	247	247	5	5
words	words/batch-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	413	418	393	398	20	20
words	words/batch-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	843	828	827	813	16	15
words	words/batch-007/docx/final-technical-report-template.docx	docx	1132	1136	1119	1123	13	13
