cells	document	sheet	sheet_state	origin	sqref	formula	hits_value_range	hits_walked_range	hits_print_area	dxf_paints	can_paint
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Color	visible	main	I10:BL35	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Dark	visible	main	I10:BL35	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	"AND($C10=""Low Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	"AND($C10=""High Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	"AND($C10=""On Track"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	"AND($C10=""Med Risk"",I$7>=$F10,I$7<=$F10+$G10-1)"	yes	yes	n/a	yes	yes
1456	sheets/chartset-011/xlsx/066_Agile_Gantt_chart_08f9de45.xlsx	Light	visible	main	I10:BL35	AND(LEN($C10)=0,I$7>=$F10,I$7<=$F10+$G10-1)	yes	yes	n/a	yes	yes
1140	sheets/table-001/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	ACC list	visible	main	G5:R99	"AND(MID($C5,1,7)=""MISSING"",$G5="""")"	yes	yes	yes	yes	yes
1047	sheets/done-011/xlsx/Application_Compliance_Checklist_5_Apr_2021.xlsx	Sample Compliance Document List	visible	main	A377:D377 J377:AA377 A443:C443 J443:AA443 J445:AA490 L444:AA444 A445:C491 A444:B444 D490 L491:AA491	"#REF!=""N/A"""	yes	yes	n/a	yes	yes
980	sheets/done-003/xlsx/VOR Candidate Discontinuance List 2026-01-08.xlsx	Discontinued VORs	visible	main	A5:E200	MOD(ROW(),2)=0	yes	yes	n/a	yes	yes
693	sheets/chartset-013/xlsx/019_Free_Blood_Sugar_Chart_for_Excel_-_Track_Your_Blood_Sugar_Level_36f4a782.xlsx	Chart	visible	main	G30:O106	ISERROR(G30)	yes	yes	yes	yes	yes
