identity	ext	path	npages	ours_solo	ours_solo_pt	ours_solo_pages	ref_solo	ref_solo_pt	ref_solo_pages	worst_page
1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080__doc	doc	words/done-013/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	9	0	0	0	7	2948	4	0
f445896eb008d14c1746fc37d412dc22__docx	docx	words/done-005/docx/f445896eb008d14c1746fc37d412dc22.docx	15	3	1354	3	3	1354	3	6
dragon1-enterprise-architecture-document-example-v0.1d__docx	docx	words/done-016/docx/dragon1-enterprise-architecture-document-example-v0.1d.docx	13	30	4889	1	2	864	1	4
003__doc	doc	words/done-006/doc/003.doc	5	0	0	0	2	182	2	0
762__doc	doc	words/extra-001/doc/762.doc	23	4	1672	1	14	4521	2	15
easa-regulations-update-20__docx	docx	words/done-013/docx/easa-regulations-update-20.docx	22	0	0	0	6	2492	3	0
P200904290238_0238_51880__doc	doc	words/done-006/doc/P200904290238_0238_51880.doc	3	43	14884	3	41	14252	3	2
300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie__doc	doc	words/done-014/doc/300502-Mecenat-Airbus-Simusante_CHU-Amiens-Picardie.doc	1	1	235	1	9	1235	1	1
SDL_FSDO_Part91_LOA_Checklist__docx	docx	words/done-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	2	1	517	1	0	0	0	2
ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16__docx	docx	words/extra-001/docx/ABCD-WB-08-00 Weight and Balance Report - v1 08.03.16.docx	12	97	22837	6	89	24694	12	11
1603642410-MoM-CASCOM-06-2020-draft04__docx	docx	words/done-014/docx/1603642410-MoM-CASCOM-06-2020-draft04.docx	9	4	1531	2	4	1532	3	3
AFS-050-004-F2_0i__docx	docx	words/done-014/docx/AFS-050-004-F2_0i.docx	8	34	17814	4	32	16599	5	6
A320SimNotes__doc	doc	words/metrics-001/doc/A320SimNotes.doc	42	75	27472	10	72	26229	10	27
technical-report-template__docx	docx	words/done-007/docx/technical-report-template.docx	7	2	243	1	6	312	1	4
fleetfastfacts16nov2023__docx	docx	words/done-014/docx/fleetfastfacts16nov2023.docx	1	21	10282	1	21	10282	1	1
AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024__docx	docx	words/metrics-001/docx/AWR OPS-AOC 044 Statement of Compliance RVSM  Rev 04 01 Feb 2024.docx	15	11	5691	3	12	6206	3	5
03_Technical_Report_(progress)_template__docx	docx	words/done-015/docx/03_Technical_Report_(progress)_template.docx	10	18	2676	1	0	0	0	3
4400-91_Proposal_To_Lease_Space_10-2024__docx	docx	words/done-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	6	1	527	1	1	527	1	2
JEMIT_Template__docx	docx	words/done-015/docx/JEMIT_Template.docx	4	20	9366	2	21	9519	2	4
