file	pages	verdict	detail
070_Storyboard_Template_Blank_Format_fc41673a__docx.pdf	1	skip-short	
071_Four-week_project_timeline_Use_this_template_4f05db49__xlsx.pdf	2	skip-short	
071_Funnel_Diagram_for_PowerPoint_with_5_Steps_5ceacdec__pptx.pdf	1	skip-short	
071_Storyboard_Template_Cartoon_Theme_ae113de2__docx.pdf	1	skip-short	
072_Gantt_project_planner_dde00e33__xlsx.pdf	1	skip-short	
072_Gear_Pie_Chart_for_PowerPoint_and_Google_Slides_d464d3a0__pptx.pdf	3	no-field	
072_Storyboard_Template_Colored_Theme_28524a15__docx.pdf	1	skip-short	
073_Graph_paper_6e1a30eb__xlsx.pdf	4	no-field	
073_Halo_Radial_for_PowerPoint_and_Google_Slides_4bd0918b__pptx.pdf	3	no-field	
073_Storyboard_Template_Easy_to_Use_44ce05fc__docx.pdf	1	skip-short	
074_Hashtag_Matrix_246eb8d9__pptx.pdf	3	no-field	
074_Idea_planner_bacaa123__xlsx.pdf	1	skip-short	
074_Storyboard_Template_Editable_Design_132436d1__docx.pdf	1	skip-short	
075_Heart_Arc_Radial_for_PowerPoint_and_Google_Slides_a27a3021__pptx.pdf	3	no-field	
075_Idea_planner_tasks_f44ebd73__xlsx.pdf	1	skip-short	
075_Storyboard_Template_Fillable_Format_7fa01641__docx.pdf	1	skip-short	
076_Hexadonut_Charts_for_PowerPoint_and_Google_Slides_2b879835__pptx.pdf	3	no-field	
076_Inventory_list_accessibility_guide_Use_this_template_f43dab19__xlsx.pdf	9	no-field	
076_Storyboard_Template_Gray_Theme_1e5fd5e5__docx.pdf	1	skip-short	
077_Horizontal_Org_Chart_for_PowerPoint_and_Google_Slides_8cf07020__pptx.pdf	3	no-field	
077_Inventory_list_with_highlighting_Use_this_template_36d8d57a__xlsx.pdf	1	skip-short	
077_Storyboard_Template_Pink_and_Blue_Theme_805e82ab__docx.pdf	1	skip-short	
078_Horizontal_Pyramid_Org_Chart_for_PowerPoint_and_Google_Slides_70ea115a__pptx.pdf	3	no-field	
078_Modern_inventory_list_Use_this_template_41abd5bf__xlsx.pdf	1	skip-short	
078_Storyboard_Template_Pink_and_Gray_Theme_ea89553f__docx.pdf	1	skip-short	
079_Horizontal_Relationships_for_PowerPoint_and_Google_Slides_a3d35f63__pptx.pdf	3	no-field	
079_Org_charts_visual_248d1dcf__xlsx.pdf	3	no-field	
079_Storyboard_Template_Simple_Format_81653703__docx.pdf	1	skip-short	
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt.pdf	18	no-field	
080_Infographic_Cycle_Venn_Diagram_for_PowerPoint_2e3cdb7f__pptx.pdf	3	no-field	
080_Printable_Graph_Paper_Template_Black_Theme_6b066be1__docx.pdf	1	skip-short	
080_Profit_and_loss_income_statement_3566dae9__xlsx.pdf	3	no-field	
081_Infographic_Funnel_w_3_Stages_for_PowerPoint_28e26b31__pptx.pdf	3	no-field	
081_Printable_Graph_Paper_Template_Blue_Theme_629316cb__docx.pdf	1	skip-short	
081_Project_performance_report_Use_this_template_be2468b3__xlsx.pdf	2	skip-short	
082_Infographic_Funnel_with_4_Stages_for_PowerPoint_72d4f125__pptx.pdf	3	no-field	
