path	dir	spacing	size	bold	linebreak	overlap	rot	count	index	words	whole	widest	rest	text
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	67.4949	9.0000	0	1	0	0.0000	6	5	2	59.6027	27.0921	27.0921	ADMIN STAFF
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	0	2	81.2764	37.9290	37.9290	ACCOUNT MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	1	2	81.2764	37.9290	37.9290	PROJECT MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	2	2	86.6948	43.3474	37.9290	STRATEGY MANAGER
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	3	2	92.1132	54.1843	32.5106	DESIGN SPECIALIST
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	4	2	59.6027	27.0921	27.0921	EVENT STAFF
sheets/chartset-013/xlsx/033_Event_planning_tracker_Use_this_template_f29a848e.xlsx	H	72.4587	9.0000	0	1	0	0.0000	6	5	2	59.6027	27.0921	27.0921	ADMIN STAFF
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	V	51.2329	9.0000	0	1	0	0.0000	6	0	2	74.6281	36.4231	36.2250	GENERAL PARTNER
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	V	51.2329	9.0000	0	1	0	0.0000	6	1	2	72.0991	37.7820	32.3370	BUSINESS LAWYER
sheets/chartset-013/xlsx/035_Project_plan_for_law_firms_aa2d4462.xlsx	V	51.2329	9.0000	0	1	0	0.0000	6	2	2	78.0391	40.9591	35.1001	DEFENSE LITIGATOR
